date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:08%20GMT	http://salonsafari.com/cdn/fonts/assistant/assistant_n4.9120912a469cad1cc292572851508ca49d12e768.woff2	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n4.9120912a469cad1cc292572851508ca49d12e768.woff2	(from https://salonsafari.com/)
20:01:09	12196/12196	---M--	200	added ('OK')	font/woff2	date:Wed,%2018%20Feb%202026%2012:07:26%20GMT	https://salonsafari.com/cdn/fonts/assistant/assistant_n4.9120912a469cad1cc292572851508ca49d12e768.woff2	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n4.9120912a469cad1cc292572851508ca49d12e768.woff2	(from https://salonsafari.com/)
20:01:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:09%20GMT	http://salonsafari.com/cdn/fonts/assistant/assistant_n4.6e9875ce64e0fefcd3f4446b7ec9036b3ddd2985.woff	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n4.6e9875ce64e0fefcd3f4446b7ec9036b3ddd2985.woff	(from https://salonsafari.com/)
20:01:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:09%20GMT	http://salonsafari.com/cdn/fonts/assistant/assistant_n7.bf44452348ec8b8efa3aa3068825305886b1c83c.woff2	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n7.bf44452348ec8b8efa3aa3068825305886b1c83c.woff2	(from https://salonsafari.com/)
20:01:10	12152/12152	---M--	200	added ('OK')	font/woff2	date:Wed,%2021%20Jan%202026%2008:39:47%20GMT	https://salonsafari.com/cdn/fonts/assistant/assistant_n4.6e9875ce64e0fefcd3f4446b7ec9036b3ddd2985.woff	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n4.6e9875ce64e0fefcd3f4446b7ec9036b3ddd2985.woff	(from https://salonsafari.com/)
20:01:10	12140/12140	---M--	200	added ('OK')	font/woff2	date:Fri,%2023%20Jan%202026%2015:14:34%20GMT	https://salonsafari.com/cdn/fonts/assistant/assistant_n7.bf44452348ec8b8efa3aa3068825305886b1c83c.woff2	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n7.bf44452348ec8b8efa3aa3068825305886b1c83c.woff2	(from https://salonsafari.com/)
20:01:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:10%20GMT	http://salonsafari.com/cdn/fonts/assistant/assistant_n7.0c887fee83f6b3bda822f1150b912c72da0f7b64.woff	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n7.0c887fee83f6b3bda822f1150b912c72da0f7b64.woff	(from https://salonsafari.com/)
20:01:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:10%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/base.css?v=144968985024194912401720632165	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/base6386.css	(from https://salonsafari.com/)
20:01:11	12092/12092	---M--	200	added ('OK')	font/woff2	date:Sat,%2024%20Jan%202026%2008:32:03%20GMT	https://salonsafari.com/cdn/fonts/assistant/assistant_n7.0c887fee83f6b3bda822f1150b912c72da0f7b64.woff	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/fonts/assistant/assistant_n7.0c887fee83f6b3bda822f1150b912c72da0f7b64.woff	(from https://salonsafari.com/)
20:01:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2013%20Apr%202026%2014:31:11%20GMT	http://salonsafari.com/cdn/shop/t/1/assets/component-predictive-search.css?v=118923337488134913561720632166	D:/Website/Rang%20the%20House%20of%20beauty/salonsafari.com/cdn/shop/t/1/assets/component-predictive-search0530.css	(from https://salonsafari.com/)
